RT,Idiom_lang,relatedness,lang_group,subj
0.810445502,EN-idiom,Exp,Bilingual,22
0.594043692,EN-idiom,Exp,Bilingual,23
0.770809223,EN-idiom,Exp,Bilingual,24
0.795454513,EN-idiom,Exp,Bilingual,25
0.644651071,EN-idiom,Exp,Bilingual,26
0.687818225,EN-idiom,Exp,Bilingual,27
0.687737865,EN-idiom,Exp,Bilingual,28
0.851843657,EN-idiom,Exp,Bilingual,29
0.789694366,EN-idiom,Exp,Bilingual,30
0.845860881,EN-idiom,Exp,Bilingual,31
0.678587862,EN-idiom,Exp,Bilingual,32
0.668149082,EN-idiom,Exp,Bilingual,33
0.905933959,EN-idiom,Exp,Bilingual,34
0.770427427,EN-idiom,Exp,Bilingual,35
0.588685741,EN-idiom,Exp,Bilingual,36
0.691134886,EN-idiom,Exp,Bilingual,37
0.747851633,EN-idiom,Exp,Bilingual,38
0.873113145,EN-idiom,Exp,Bilingual,39
0.918934532,EN-idiom,Exp,Bilingual,40
0.748905203,EN-idiom,Exp,Bilingual,41
0.640924564,EN-idiom,Exp,Bilingual,42
0.91368603,EN-idiom,Exp,Bilingual,43
0.78809393,EN-idiom,Exp,Bilingual,44
0.95153867,EN-idiom,Exp,Bilingual,45
0.66061077,EN-idiom,Exp,Bilingual,46
0.715958675,EN-idiom,Exp,Bilingual,47
0.628978809,EN-idiom,Exp,Bilingual,48
0.748234376,EN-idiom,Exp,Bilingual,49
0.812979561,EN-idiom,Exp,Bilingual,50
0.740469002,EN-idiom,Exp,Bilingual,51
0.876481305,EN-idiom,Exp,Bilingual,52
0.885904358,EN-idiom,Exp,Bilingual,53
0.709542592,EN-idiom,Exp,Monolingual,54
0.585044492,EN-idiom,Exp,Monolingual,55
0.50772781,EN-idiom,Exp,Monolingual,56
1.074248988,EN-idiom,Exp,Monolingual,57
0.669096817,EN-idiom,Exp,Monolingual,58
0.600410859,EN-idiom,Exp,Monolingual,59
0.66527597,EN-idiom,Exp,Monolingual,60
0.503671378,EN-idiom,Exp,Monolingual,61
0.505609388,EN-idiom,Exp,Monolingual,62
0.438646213,EN-idiom,Exp,Monolingual,63
0.518429989,EN-idiom,Exp,Monolingual,64
0.471675078,EN-idiom,Exp,Monolingual,65
0.603899101,EN-idiom,Exp,Monolingual,66
0.689887919,EN-idiom,Exp,Monolingual,67
0.525805492,EN-idiom,Exp,Monolingual,68
0.558764388,EN-idiom,Exp,Monolingual,69
0.591684165,EN-idiom,Exp,Monolingual,70
0.684702856,EN-idiom,Exp,Monolingual,71
0.657357154,EN-idiom,Exp,Monolingual,72
0.890755296,EN-idiom,Exp,Monolingual,73
0.683586504,EN-idiom,Exp,Monolingual,74
0.616121973,EN-idiom,Exp,Monolingual,75
0.577472915,EN-idiom,Exp,Monolingual,76
0.702867266,EN-idiom,Exp,Monolingual,77
0.641006519,EN-idiom,Exp,Monolingual,78
0.636675971,EN-idiom,Exp,Monolingual,79
0.569170364,EN-idiom,Exp,Monolingual,80
0.672077109,EN-idiom,Exp,Monolingual,81
0.473749772,EN-idiom,Exp,Monolingual,82
0.545074464,EN-idiom,Exp,Monolingual,83
0.61591964,EN-idiom,Exp,Monolingual,84
0.472732623,EN-idiom,Exp,Monolingual,85
0.531012137,EN-idiom,Exp,Monolingual,86
0.633156704,EN-idiom,Exp,Monolingual,87
0.623249129,EN-idiom,Exp,Monolingual,88
0.565085934,EN-idiom,Exp,Monolingual,89
0.53237997,EN-idiom,Exp,Monolingual,90
0.565514768,EN-idiom,Exp,Monolingual,91
0.689269439,EN-idiom,Exp,Monolingual,92
0.622968674,EN-idiom,Exp,Monolingual,93
0.618489089,EN-idiom,Exp,Monolingual,94
0.817394614,EN-idiom,Exp,Monolingual,95
0.571399969,EN-idiom,Exp,Monolingual,96
0.572242396,EN-idiom,Exp,Monolingual,97
0.728238787,EN-idiom,Exp,Monolingual,98
0.698265536,EN-idiom,Exp,Monolingual,99
0.486042142,EN-idiom,Exp,Monolingual,100
0.54615812,EN-idiom,Exp,Monolingual,101
0.825599472,EN-idiom,Exp,Monolingual,102
0.554535707,EN-idiom,Exp,Monolingual,103
0.481796573,EN-idiom,Exp,Monolingual,104
0.477572928,EN-idiom,Exp,Monolingual,105
0.766924129,EN-idiom,Exp,Monolingual,106
0.681693902,EN-idiom,Exp,Monolingual,107
0.576827034,EN-idiom,Exp,Monolingual,108
0.641599009,EN-idiom,Exp,Monolingual,109
0.49297085,EN-idiom,Exp,Monolingual,110
0.499964461,EN-idiom,Exp,Monolingual,111
0.713314383,EN-idiom,Exp,Monolingual,112
0.596347086,EN-idiom,Exp,Monolingual,113
0.497379635,EN-idiom,Exp,Monolingual,114
0.791111002,EN-idiom,Exp,Monolingual,115
0.528918902,EN-idiom,Exp,Monolingual,116
